SNo,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD,Remarks
108,2015-04-22,Avanti Learning,Education,Private Coaching Classes,New Delhi,"Michael & Susan Dell Foundation, Pearson Learning Fund",Private Equity,600000,Series A
516,2015-04-22,FindYahan,Consumer Internet,Hyperlocal services marketplace,New Delhi,The Phoenix Fund,Private Equity,21500000,Series A
338,2015-04-23,Craftstvilla,E-Commerce,Ethnic Product E-Commerce,Mumbai,"Sequoia Capital, Nexus venture Partners, Lightspeed Ventures, GFC",Private Equity,15000000,Series B
441,2015-04-23,EazyDiner,Consumer Internet,Restaurant reservation app,New Delhi,"Deepak Shahdadpuri, Gulpreet Kohli",Seed Funding,12500000,
686,2015-04-23,happay,Consumer Internet,business expense management,Bangalore,AngelPrime,Seed Funding,10000000,
695,2015-04-23,HeadOut,Consumer Internet,Last Minute Travel Deals mobile marketplace,Bangalore,"Version One Ventures, 500 Startups, Nexus Venture Partners and Arena Ventures",Seed Funding,60000000,
1267,2015-04-23,Phone Warrior,Technology,Spam Call block App,New Delhi,Lightspeed Ventures,Seed Funding,600000,Pre-Series A
1544,2015-04-23,Simplilearn,Education,Online Certification programs,Bangalore,"Mayfield Ventures, Kalaari Capital, Helion Ventures",Private Equity,6000000,Series C
335,2015-04-24,Coverfox,Others,Online Insurance Aggregator,Mumbai,"Accel US, Accel India, SAIF Partners.",Private Equity,1200000,Series B
615,2015-04-27,GIBBS,Technology,Energy saving solutions provider,New Delhi,Infuse Ventures fund,Private Equity,260000,Series B
652,2015-04-27,Grab.in,Logistics,Hyperlocal Logistics Service Provider,Mumbai,"Oliphans Capital, Haresh Chawla",Seed Funding,500000,
989,2015-04-27,LogicRoots,Others,Interactive Educational Games,Jaipur,"Ah! Ventures, Calcutta Angels,?ò 91SpringBoard",Seed Funding,1000000,
118,2015-04-28,Babajobs,Consumer Internet,Grey collar Job Board,Bangalore,SEEK Ltd & affiliates,Private Equity,285000,Series B
1792,2015-04-28,Urban Ladder,E-Commerce,Online Furniture Store,Bangalore,"Anand Rajaraman, Venky Harinarayan",Private Equity,500000,Series D
1285,2015-04-29,PiQube,Technology,Hiring Analytics platform,Chennai,The HR Fund,Seed Funding,6000000,
1724,2015-04-29,Tracxn,Others,Indian Startup ecosystem trends analyzer & funding platform,Bangalore,SAIF Partners,Private Equity,825000,Series A
1733,2015-04-29,Travel Triangle,Consumer Internet,Online Travel Marketplace,Noida,"Bessemer Venture Partners, SAIF Partners",Private Equity,3000000,Series B
676,2015-05-01,Gympik.com,Consumer Internet,"Fitness Centres, Gym Discovery online marketplace",Mumbai,"Tom Clausen, Rohan Ajila, Haldyn Glass",Seed Funding,250000,
993,2015-05-01,Lookup,Consumer Internet,Mobile Messaging Assistant App,Mumbai,"DeNA Co., Japan & Teruhide Sato (in Addition to MKS Switzerland & Kris GopalKrishnan)",Seed Funding,150000,
57,2015-05-02,Aisle,Consumer Internet,Indians focused Matchmaking App,Bangalore,"Anand Vijay, Shashank Mehrotra & Others",Seed Funding,250000,
1245,2015-05-02,Paytm,E-Commerce,E-Commerce,Bangalore,Ant Financial Services (Alipay),Private Equity,6000000,Strategic Investment (25% stake)
379,2015-05-03,Customfurnish,E-Commerce,Custom Made furniture e-tailer,Hyderabad,"Madhukar Gangadi, Satish Reddy, Srini Raju, Srini Koppolu & SIDBI",Private Equity,21500000,
520,2015-05-05,Fintellix,Technology,Banking Analytics Platform,Bangalore,"IDG Ventures, Sequoia Capital",Private Equity,600000,Series C
1488,2015-05-05,Seed Schools,Education,Affordable Education,Hyderabad,Acumen Fund,Seed Funding,650000,
1588,2015-05-05,Square Yards,Consumer Internet,Property Search Aggregator platform,Gurgaon,Undisclosed Investors,Private Equity,6000000,pre-Series A
1044,2015-05-06,Medwell Ventures,Healthcare,Home-Based Healthcare provider,Bangalore,"Fidelity Growth Partners, Fidelity Biosciences",Private Equity,150000,Series A
1795,2015-05-07,Urban Tailor,Consumer Internet,E-Tailoring service provider,Bangalore,Group of angel investors,Seed Funding,16600,
1151,2015-05-08,NightStay,Consumer Internet,hotel booking app,Noida,"BedRock Ventures, Rajesh Sawhney, Shailesh Singh",Seed Funding,12500000,
2008,2015-05-08,Zo Rooms,Consumer Internet,Online budget hotel chain,New Delhi,"Tiger Global Management, Orios Venture Partners",Private Equity,600000,Series A
2010,2015-05-08,Zocalo,Consumer Internet,Rental Accomodation finder,New Delhi,"Sachin Bhatia, Rajesh Sawhney",Seed Funding,250000,
792,2015-05-10,IndiaLends,Finance,Financial Tech,New Delhi,"DSG consumer Partners, Paragon Partners",Private Equity,1000000,Pre-Series A Bridge round
1178,2015-05-10,Nykaa,E-Commerce,Beauty & Wellness Products e-tailer,Mumbai,"Harsh Mariwala, Atul Nishar, Dalip Pathak, Michael Carlos",Private Equity,700000,Series B
201,2015-05-11,BookMyBai,Consumer Internet,Domestic Help Aggregation platform,Mumbai,Vineel Nalla & Others,Seed Funding,1200000,
820,2015-05-13,Innovaccer,Technology,Intelligent Data Analytics,Noida,"Rajan Anandan, Teru Sato, Aneesh Reddy, Venkatesh Valluri",Seed Funding,250000,
1110,2015-05-13,MyCuteOffice,Consumer Internet,Online Office Rental,Mumbai,Lead Angels,Seed Funding,325000,
795,2015-05-14,IndianRoots.com,E-Commerce,Lifestyle E-Commerce Portal,Gurgaon,KJS Group,Private Equity,3000000,Series B
1397,2015-05-14,RedPolka,E-Commerce,Online Fashion Aggregator,Mumbai,Undisclosed Investors,Seed Funding,600000,
1828,2015-05-15,Venturesity,Consumer Internet,Online Job skills Showcase,Bangalore,"Phanindra Sama, Jay Sethuram, Hemant Kanakia, Ravi Trivedi",Seed Funding,300000,
110,2015-05-18,Awaaz De,Consumer Internet,Enterprise Communication Platform,Ahmedabad,Samir Shah,Seed Funding,6000000,
1689,2015-05-18,TheBetterIndia.com,Consumer Internet,Online News Media,Bangalore,Mohandas Pai,Seed Funding,6000000,Pre-Series Bridge
60,2015-05-19,Akosha,Consumer Internet,Business Messaging App,New Delhi,Sequoia Capital,Private Equity,4000000,Series B
274,2015-05-19,Chaayos,FMCG,Offline Tea Chain,New Delhi,Tiger Global Management,Private Equity,50000000,Series A
327,2015-05-19,Cooey,Healthcare,Health Mobile App,Bangalore,Subhash Goyal,Seed Funding,6000000,
358,2015-05-19,Crown-it,Consumer Internet,Hyperlocal Mobile Marketplace,Gurgaon,"Accel Partners, Helion Venture Partners",Private Equity,500000,Series A
826,2015-05-19,Inspirock,Consumer Internet,Online Travel Planning,Mumbai,MakeMyTrip Innovation Fund,Private Equity,285000,
1049,2015-05-19,MeetUniv,Education,Online Ed-Tech Platform,Noida,Peesh Venture Capital,Seed Funding,250000,
1750,2015-05-19,Trucksfirst,Logistics,Trucking Logistic Operations,Gurgaon,SAIF partners,Private Equity,250000,Series A
994,2015-05-20,Lookup,Consumer Internet,Mobile Messaging Assistant App,Bangalore,Biz Stone,Private Equity,21500000,Series A
1630,2015-05-21,SunTerrace,Others,Rooftop Solar Plants,New Delhi,Sunergy Investors,Private Equity,260000,
1837,2015-05-21,Villgro,Finance,Social Business Incubator & Fund,Chennai,Michael & Susan Dell Foundation,Seed Funding,300000,To fund edu startups
250,2015-05-22,CarDekho,Consumer Internet,Online Car Portal,Jaipur,HDFC Bank,Private Equity,250000,1% stake
1147,2015-05-25,Newgen Payments,Consumer Internet,Payments Solution Provider,New Delhi,Jan Manten,Seed Funding,3000000,
1388,2015-05-25,RazorPay,Consumer Internet,Online Payment Gateway,Bangalore,Punit Soni,Seed Funding,250000,
1983,2015-05-25,ZenParent,Consumer Internet,Parents focused Web Content,Bangalore,i2india Ventures,Seed Funding,1000000,
638,2015-05-26,Goodbox,Others,On-Demand Business messaging,Bangalore,Manipal Group,Seed Funding,50000000,
1404,2015-05-26,Renderlogy,Others,Online Home Decor,Hyderabad,Astarc Ventures,Private Equity,470000,Series A
1805,2015-05-26,UrbanPro,Consumer Internet,On-demand Service marketplace,Bangalore,Nirvana Venture Advisors,Private Equity,150000,Series A
264,2015-05-27,Casa2inns,Consumer Internet,Affordable Hotel Booking Online,New Delhi,"Accel Partners, Kalaari Capital",Private Equity,5000000,Series A
542,2015-05-27,FleetRover,Logistics,Logistics Intelligence,Others,"Tim Chen, Sanjay Venkat",Seed Funding,1750000,
1310,2015-05-27,Postman,Technology,API Workflow platform,Bangalore,Nexus Venture Partners,Seed Funding,1000000,Series A
1690,2015-05-28,TheKarrier,Logistics,Last Mile Logistics,Bangalore,"Sol Primero, Outbox Ventures, Nikunj Jain",Seed Funding,300000,
1760,2015-05-28,Truweight,Consumer Internet,Weight Management Service,Hyderabad,Kalaari Capital,Private Equity,150000,Series A
2017,2015-05-28,Zoomcar,Consumer Internet,Self-Driven Cab booking platform,Bangalore,Sequoia Capital,Private Equity,5000000,Series B Interim Funding
98,2015-05-30,Ather Energy,Technology,Electric Vehicle Manufacturer,Bangalore,Tiger Global,Private Equity,3000000,Series A
1351,2015-06-01,Purplle.com,E-Commerce,Beauty Products Marketplace,Mumbai,IvyCap Ventures,Private Equity,500000,
571,2015-06-02,FreeCharge,Consumer Internet,Mobile Wallet,Mumbai,"Valiant Capital, Tybourne Capital, Sequoia Capital, RuNet and Sofina",Private Equity,50000000,Series C
828,2015-06-04,InstaLively,Consumer Internet,Video Streaming,New Delhi,"Rajesh Sawheny , Rajan Anandan, Amit Ranjan, Niraj Singh, AECAL, MeraEvents.",Seed Funding,285000,
